goos: darwin
goarch: arm64
pkg: github.com/prestonvasquez/dev/mongo-go-driver/noreplace/inline/bson
cpu: Apple M1 Pro
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  339478	      3375 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  372159	      3285 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  370348	      3274 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  357565	      3283 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  372039	      3269 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  358848	      3358 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  366808	      3537 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  326421	      3540 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  369318	      3374 ns/op	    1360 B/op	      47 allocs/op
BenchmarkBSONv1vs2Comparison/BSON_v1-10         	  371803	      3308 ns/op	    1360 B/op	      47 allocs/op
PASS
